id,fecha,producto,cantidad,precio
1,2024-01-03,Teclado,20,25.99
2,2024-01-03,Webcam,1,39.99
3,2024-01-03,Auriculares,18,29.99
4,2024-01-04,Webcam,10,39.99
5,2024-01-04,Mouse,2,15.5
6,2024-01-05,Altavoces,13,45.0
7,2024-01-08,Teclado,11,25.99
8,2024-01-10,Auriculares,5,29.99
9,2024-01-11,Monitor,2,199.99
10,2024-01-12,Microfono,20,59.99
11,2024-01-12,USB,8,9.99
12,2024-01-12,Webcam,16,39.99
13,2024-01-13,USB,6,9.99
14,2024-01-14,Altavoces,20,45.0
15,2024-01-15,Auriculares,17,29.99
16,2024-01-18,USB,16,9.99
17,2024-01-18,Impresora,13,89.9
18,2024-01-19,USB,12,9.99
19,2024-01-24,Mouse,8,15.5
20,2024-01-26,Webcam,7,39.99
21,2024-01-27,Altavoces,4,45.0
22,2024-01-27,Disco Duro,12,79.99
23,2024-01-28,Impresora,10,89.9
24,2024-01-28,Webcam,15,39.99
25,2024-01-31,Webcam,8,39.99
26,2024-01-31,Auriculares,18,29.99
27,2024-02-01,Disco Duro,14,79.99
28,2024-02-01,USB,9,9.99
29,2024-02-01,Altavoces,20,45.0
30,2024-02-02,Teclado,17,25.99
31,2024-02-02,Mouse,13,15.5
32,2024-02-06,Altavoces,7,45.0
33,2024-02-07,USB,14,9.99
34,2024-02-08,Teclado,14,25.99
35,2024-02-09,Impresora,17,89.9
36,2024-02-09,Monitor,12,199.99
37,2024-02-09,Altavoces,20,45.0
38,2024-02-10,Monitor,8,199.99
39,2024-02-12,Impresora,19,89.9
40,2024-02-12,Webcam,19,39.99
41,2024-02-12,Mouse,5,15.5
42,2024-02-12,Disco Duro,10,79.99
43,2024-02-13,Microfono,5,59.99
44,2024-02-15,Webcam,18,39.99
45,2024-02-15,Teclado,2,25.99
46,2024-02-16,Auriculares,6,29.99
47,2024-02-18,USB,6,9.99
48,2024-02-18,Mouse,2,15.5
49,2024-02-19,Impresora,3,89.9
50,2024-02-20,Microfono,11,59.99
51,2024-02-23,Auriculares,10,29.99
52,2024-02-25,Auriculares,8,29.99
53,2024-02-26,Microfono,15,59.99
54,2024-02-26,Altavoces,10,45.0
55,2024-02-27,Teclado,5,25.99
56,2024-02-29,Teclado,18,25.99
57,2024-02-29,Microfono,12,59.99
58,2024-02-29,Disco Duro,18,79.99
59,2024-03-03,Teclado,18,25.99
60,2024-03-03,Monitor,16,199.99
61,2024-03-05,Impresora,2,89.9
62,2024-03-06,Microfono,8,59.99
63,2024-03-07,Mouse,18,15.5
64,2024-03-08,Microfono,2,59.99
65,2024-03-10,Teclado,2,25.99
66,2024-03-10,Disco Duro,19,79.99
67,2024-03-12,Mouse,5,15.5
68,2024-03-12,Impresora,3,89.9
69,2024-03-12,Impresora,1,89.9
70,2024-03-13,Auriculares,10,29.99
71,2024-03-14,Webcam,12,39.99
72,2024-03-15,Monitor,12,199.99
73,2024-03-20,Altavoces,20,45.0
74,2024-03-20,Microfono,13,59.99
75,2024-03-21,USB,6,9.99
76,2024-03-21,USB,3,9.99
77,2024-03-22,Monitor,3,199.99
78,2024-03-23,USB,5,9.99
79,2024-03-23,Altavoces,16,45.0
80,2024-03-24,Webcam,12,39.99
81,2024-03-26,Webcam,6,39.99
82,2024-03-26,Altavoces,3,45.0
83,2024-03-26,Teclado,13,25.99
84,2024-03-27,Microfono,6,59.99
85,2024-03-28,Disco Duro,4,79.99
86,2024-03-28,Impresora,12,89.9
87,2024-03-29,Mouse,4,15.5
88,2024-03-29,Altavoces,4,45.0
89,2024-03-30,Microfono,1,59.99
90,2024-03-30,USB,2,9.99
91,2024-04-01,Impresora,5,89.9
92,2024-04-02,Monitor,4,199.99
93,2024-04-02,Webcam,9,39.99
94,2024-04-02,Webcam,4,39.99
95,2024-04-03,USB,12,9.99
96,2024-04-03,Mouse,5,15.5
97,2024-04-05,Monitor,7,199.99
98,2024-04-06,Mouse,10,15.5
99,2024-04-06,Teclado,10,25.99
100,2024-04-06,Mouse,16,15.5
